delo,plača neto,kraj,delovnik,trajanje
LAŽJA FIZIČNA DELA,7.49 €/h neto,ORMOŽ,DOPOLDAN,POČITNIŠKO DELO
RAZVOZ,7.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
PRODAJA,7.00 €/h neto,SLOVENJ GRADEC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,7.00 €/h neto,KOROŠKA REGIJA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ANIMATOR/KA,10.33 €/h neto,ŠKOFJA LOKA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
TEHNIČNA POMOČ,6.88 €/h neto,LESKOVEC PRI KRŠKEM,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,8.61 €/h neto,TRZIN IOC,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,7.05 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
POMOČ V STREŽBI,7.50 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V IGRALNICI,7.74 €/h neto,MARIBOR,IZMENSKO,PO DOGOVORU
ADMINISTRATIVNA DELA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LABORATORIJU,6.45 €/h neto,MENGEŠ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.06 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI OSKRBI STANOVALCEV,7.00 €/h neto,ŠMARTNO PRI LITIJI,IZMENSKO,POČITNIŠKO DELO
IZDELAVA IN UREJANJE SPLETNE STRANI,PLAČILO PO PROJEKTU,VODICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI OSKRBI STANOVALCEV,6.20 €/h neto,"CIGLENCE, SPODNJI DUPLEK",DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.74 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.45 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
MENTOR/ICA,11.20 €/h neto,CELJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
FOTOGRAFIRANJE,6.50 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.50 €/h neto,VELIKA PLANINA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ROČNA DELA,7.74 €/h neto,MARIBOR,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DEMONSTRATOR/KA,6.71 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.10 €/h neto,KOMENDA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
SNEMANJE IN UREJANJE KRATKIH VIDEOV,PO DOGOVORU,OD DOMA,PO DOGOVORU,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,LENDAVA,PO DOGOVORU,"SOBOTA, 24. 8. 2024"
DELO NA BENCINSKEM SERVISU,7.13 €/h neto,DRAMLJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRŽENJE,7.00 €/h neto,VRHNIKA,DOPOLDAN,PO DOGOVORU
POMOČ V KUHINJI,6.20 €/h neto,ROGATEC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,6.88 €/h neto,RUŠE,PO DOGOVORU,PO DOGOVORU
DELO V SKLADIŠČU,7.40 €/h neto,LJUBLJANA - ČRNUČE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
RAČUNOVODSKA DELA,7.31 €/h neto,LJUBLJANA IN DELO OD DOMA (HIBRIDNO DELO),DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.45 €/h neto,LJUBLJANA BTC,PO DOGOVORU,PO DOGOVORU
LAŽJA FIZIČNA DELA,6.50 €/h neto,LJUBLJANA,DOPOLDAN,POČITNIŠKO DELO
DELO V DELAVNICI,7.50 €/h neto,MARIBOR,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,10.00 €/h neto,LUČE,IZMENSKO,CA. 10 DO 14 DNI 
BLAGAJNIK,6.20 €/h neto,VELIKA NEDELJA,IZMENSKO,OD 19. - 31. 8. 2024
PRODAJA,6.20 €/h neto,PTUJ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.50 €/h neto,LJUBLJANA,IZMENSKO,DO KONCA SEPTEMBRA
ADMINISTRATIVNA DELA,6.20 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,7.74 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,8.61 €/h neto,SUPERNOVA QLANDIA MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.50 €/h neto,NAKLO,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.12 €/h neto,HOČE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,6.58 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROJNIŠKA DELA,7.74 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,6.20 €/h neto,PTUJ,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,9.00 €/h neto,LENDAVA,PO DOGOVORU,24. 8. IN 31. 8. 
POUČEVANJE,25.00 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,25.00 €/h neto,CELJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,PO DOGOVORU,PTUJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.12 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,9.16 €/h neto,BOVEC,PO DOGOVORU,PO DOGOVORU
POMOČ PRI PRODAJI,6.88 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,8.60 €/h neto,DRAMLJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,7.12 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.31 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.74 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
PRODAJA,9.47 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,7.74 €/h neto,KRANJ,DOPOLDAN,PO DOGOVORU
KURIR/KA,7.50 €/h neto,KOMENDA,DOPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,10.33 €/h neto,PODSKRAJNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.15 €/h neto,IZOLA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,6.62 €/h neto,LJUBLJANA ČRNUČE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
INVENTURA,6.20 €/h neto,LJUTOMER,DOPOLDAN,"TOREK, 27. 8. 2024"
PROJEKTNO DELO,7.87 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.20 €/h neto,ROGAŠOVCI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,7.00 €/h neto,ŠENTJUR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,6.20 €/h neto,ORMOŽ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,8.00 €/h neto,SVETI JURIJ OB ŠČAVNICI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,ŠENTJUR IN CELJE,PO DOGOVORU,PO DOGOVORU
VADITELJ/ICA,12.91 €/h neto,MEDVODE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,6.97 €/h neto,BOROVNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,LJUBNO OB SAVINJI,IZMENSKO,PO DOGOVORU
STREŽBA,7.50 €/h neto,SEVNICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
UREJANJE OKOLICE,PO DOGOVORU,STUDENEC PRI SEVNICI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.15 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,8.00 €/h neto,RATEČE - PLANICA,IZMENSKO,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,RATEČE - PLANICA,IZMENSKO,POČITNIŠKO DELO
POMOČ V STREŽBI,8.50 €/h neto,BLED,DOPOLDAN,"V SEPTEMBRU, LAHKO TUDI V OKTOBRU"
STREŽBA,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA STOJNICI,10.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
MENTOR/ICA,9.16 €/h neto,BAVŠICA,POPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,6.20 €/h neto,LAŠKO,POPOLDAN,POČITNIŠKO DELO
MONTAŽA,8.00 €/h neto,MARIBOR,DOPOLDAN,PO DOGOVORU
DELO V FITNESU,7.00 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,8.00 €/h neto,LJUBLJANA - CENTER,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KLICNI CENTER,7.74 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.50 €/h neto,LENDAVA,DOPOLDAN,PO DOGOVORU
DELO V KUHINJI,6.20 €/h neto,MALEČNIK,MED VIKENDI,PO DOGOVORU
LAŽJA FIZIČNA DELA,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.45 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,PO DOGOVORU,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
RAČUNALNIŠKE STORITVE,8.17 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,PO DOGOVORU,BOHINJ,PO DOGOVORU,POČITNIŠKO DELO
PROMOCIJA,8.79 €/h neto,LJUBLJANA Z OKOLICO,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.21 €/h neto,MEJNI PREHOD OBREŽJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V ORDINACIJI,7.74 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,9.00 €/h neto,PIRAN,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,7.21 €/h neto,CELJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,7.74 €/h neto,ŠKOFJA LOKA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,8.50 €/h neto,KOBARID,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,KOPER,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.00 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
SNEMANJE IN UREJANJE KRATKIH VIDEOV,7.00 €/h neto,TRZIN IND. CONA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.00 €/h neto,LJUBLJANA - BTC,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V KUHINJI,7.00 €/h neto,IZOLA,IZMENSKO,DO 30. 9. 2024
DELO V KUHINJI,8.50 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.50 €/h neto,LJUBLJANA VIČ,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.45 €/h neto,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.45 €/h neto,LUCIJA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.12 €/h neto,KAMNIK POD KRIMOM,DOPOLDAN,PO DOGOVORU
STREŽBA HRANE IN PIJAČE,8.00 €/h neto,COGETINCI,POPOLDAN,POČITNIŠKO DELO
ČIŠČENJE,8.50 €/h neto,COGETINCI,DOPOLDAN,POČITNIŠKO DELO
DELO V LABORATORIJU,6.88 €/h neto,MENGEŠ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.93 €/h neto,AJDOVŠČINA,PO DOGOVORU,POČITNIŠKO DELO
ČIŠČENJE,7.00 €/h neto,MURSKA SOBATA,IZMENSKO,POČITNIŠKO DELO
POMOČ UPORABNIKOM,6.31 €/h neto,MARIBOR,PO DOGOVORU,PO DOGOVORU
PROJEKTNO DELO,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.00 €/h neto,LJUBLJANA ČRNUČE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,7.31 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
STREŽBA,9.00 €/h neto,LJUBLJANA BEŽIGRAD,DOPOLDAN,PO DOGOVORU
POUČEVANJE,"15,46 € BRUTO/60MIN (13,30 € NETO/60MIN)",LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,8.61 €/h neto,KOMENDA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V FARMACIJI,6.97 €/h neto,NOVO MESTO,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PROJEKTIRANJE,8.00 €/h neto,ŠEMPETER V SAVINJSKI DOLINI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,7.40 €/h neto,BRNIK - AERODROM,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.08 €/h neto,LJUBLJANA - RUDNIK,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,PIVKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,ŠKOFLJICA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V TURIZMU,7.12 €/h neto,ANKARAN,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.12 €/h neto,LJUBLJANA BTC,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA BENCINSKEM SERVISU,7.31 €/h neto,BREZOVICA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KONTROLA KAKOVOSTI,PO DOGOVORU,KOPER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V KUHINJI,6.50 €/h neto,MARIBOR,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,6.28 €/h neto,LJUBLJANA,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,8.15 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.50 €/h neto,LENART,PO DOGOVORU,PO DOGOVORU
POMOČ V STREŽBI,8.00 €/h neto,JESENICE,PO DOGOVORU,PO DOGOVORU
ČIŠČENJE,8.17 €/h neto,KRANJ - VOKLO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,8.17 €/h neto,KOBARID,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
KNJIGOVODSKA DELA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,PTUJ,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DEMONSTRATOR/KA,6.20 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V AVTOPRALNICI,7.12 €/h neto,MARIBOR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,8.61 €/h neto,LJUBNO OB SAVINJI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V TRGOVINI,7.31 €/h neto,GORNJI GRAD,IZMENSKO,POČITNIŠKO DELO
SOBAR/ICA,8.17 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ČIŠČENJE,6.50 €/h neto,SVETI JURIJ OB ŠČAVNICI,IZMENSKO,POČITNIŠKO DELO
TRENER/KA,PO DOGOVORU,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,LJUBLJANA ČRNUČE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
TRŽENJE,8.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V LOGISTIKI,8.00 €/h neto,TRZIN,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,7.50 €/h neto,SEŽANA,PO DOGOVORU,PO DOGOVORU
STATIST,15.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
STREŽBA,7.00 €/h neto,HOČE,IZMENSKO,PO DOGOVORU
TEHNIČNA POMOČ,8.61 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,7.00 €/h neto,LJUBLJANA,POPOLDAN,PO DOGOVORU
KNJIGOVODSKA DELA,7.00 €/h neto,CELJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,6.20 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ UPORABNIKOM,6.31 €/h neto,CELJE,PO DOGOVORU,PO DOGOVORU
POMOČ UPORABNIKOM,6.31 €/h neto,ŠENTJUR,DOPOLDAN,PO DOGOVORU
KONTROLA KAKOVOSTI,6.46 €/h neto,ŽELEZNIKI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,6.46 €/h neto,ŽELEZNIKI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,SLOVENJ GRADEC,IZMENSKO,PO DOGOVORU
LAŽJA FIZIČNA DELA,8.00 €/h neto,MURGLE-VIČ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ZDRAVSTVENA NEGA,6.45 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA STOJNICI,6.50 €/h neto,LJUBLJANA,MED VIKENDI,POČITNIŠKO DELO
DELO NA TERENU,7.14 €/h neto,KAMNIK,IZMENSKO,PO DOGOVORU
STREŽBA,8.23 €/h neto,PO SLOVENIJI,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V PROIZVODNJI,7.06 €/h neto,ŠKOFJA LOKA,IZMENSKO,POČITNIŠKO DELO
RAZVOZ,7.50 €/h neto,LJUBLJANA,POPOLDAN,DO 31. 8. 2024
PRODAJA,8.00 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,8.00 €/h neto,LJUBLJANA RUDNIK,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,8.00 €/h neto,NOVO MESTO,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,8.00 €/h neto,VELENJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,PO DOGOVORU,NOVO MESTO,PO DOGOVORU,PO DOGOVORU
PRODAJA,7.50 €/h neto,JESENICE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO) 
SOBAR/ICA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO S STRANKAMI,8.00 €/h neto,MARIBOR,MED VIKENDI,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.62 €/h neto,LITIJA,PO DOGOVORU,POČITNIŠKO DELO
STREŽBA,6.20 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,7.00 €/h neto,BREZOVICA PRI LJUBLJANI,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,8.61 €/h neto,LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
MENTOR/ICA,11.20 €/h neto,DOMŽALE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
MENTOR/ICA,11.20 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAČUNOVODSKA DELA,6.82 €/h neto,GROSUPLJE,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.00 €/h neto,LJUBLJANA ŠIŠKA,IZMENSKO,PO DOGOVORU
POMOČ PRI PRODAJI,7.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
POMOČ PRI PRODAJI,6.88 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIČNA DELA,8.50 €/h neto,ŠKOFJA LOKA,IZMENSKO,PO DOGOVORU
DELO V LABORATORIJU,6.20 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRAVNE STORITVE,7.31 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
TELEFONSKI MARKETING,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.00 €/h neto,RADOVLJICA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,6.20 €/h neto,LJUBLJANA ŠIŠKA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
ELEKTROTEHNIČNA DELA,8.00 €/h neto,PO SLOVENIJI,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,6.20 €/h neto,BUKOVNICA - PRI JEZERU,DOPOLDAN,PO DOGOVORU
VODENJE,8.15 €/h neto,KRANJ,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V SKLADIŠČU,6.37 €/h neto,LJUBLJANA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.00 €/h neto,KRANJSKA GORA,PO DOGOVORU,PO DOGOVORU
ČIŠČENJE,6.50 €/h neto,DOGOŠE MARIBOR,IZMENSKO,POČITNIŠKO DELO
POMOČ V KUHINJI,7.00 €/h neto,LUKOVICA,POPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA,IZMENSKO,PO DOGOVORU
TRENER/KA,10.76 €/h neto,LJUBLJANA BEŽIGRAD,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.00 €/h neto,KOPER,IZMENSKO,PO DOGOVORU
PRODAJA,7.00 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
KOZMETIČNE STORITVE,7.31 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
STREŽBA,6.20 €/h neto,TPC LUCIJA,POPOLDAN,POČITNIŠKO DELO
POMOČ V KUHINJI,6.20 €/h neto,LUCIJA TPC,POPOLDAN,POČITNIŠKO DELO
VNOS PODATKOV V RAČUNALNIK,8.00 €/h neto,GROSUPLJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RAČUNALNIKU,8.00 €/h neto,GROSUPLJE,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
PRODAJA,7.00 €/h neto,VELENJE,IZMENSKO,AVGUST 2024
SOBAR/ICA,8.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
STREŽBA,7.31 €/h neto,POSTOJNA,IZMENSKO,PO DOGOVORU
PROJEKTIRANJE,7.80 €/h neto,LJUBLJANA - BEŽIGRAD,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,7.00 €/h neto,LJUBLJANA - DOBRUNJE,DOPOLDAN,PO DOGOVORU
ČIŠČENJE,7.00 €/h neto,NOVO MESTO,PO DOGOVORU,POČITNIŠKO DELO
